epoch,param,frob_norm,numel
0,layers.4.models.0.norm1_attn.weight,8.0,64
0,layers.4.models.0.norm1_attn.bias,3.5431721556733464e-08,64
0,layers.4.ff_linear1.weight,6.521729469299316,8192
0,layers.4.ff_linear1.bias,0.7911076545715332,128
0,layers.4.ff_linear2.weight,4.619788646697998,8192
0,layers.4.ff_linear2.bias,0.39432212710380554,64
0,layers.4.norm2.weight,8.0,64
0,layers.4.norm2.bias,1.8579646265948213e-08,64
0,post_mp.rel_emb.weight,34.1320686340332,1152
0,post_mp.scorer.weight,0.5652807950973511,128
0,post_mp.scorer.bias,0.014865225180983543,1
1,encoder.node_encoder.rel_emb.weight,34.6470832824707,1152
1,encoder.edge_encoder.emb.weight,33.82459259033203,1152
1,encoder.exp_edge_fixer.exp_edge_attr.weight,8.669381141662598,64
1,encoder.exp_edge_fixer.exp_edge_query_emb.weight,0.3318009078502655,1152
1,layers.0.models.0.self_attn.Q.weight,4.614981174468994,4096
1,layers.0.models.0.self_attn.K.weight,4.6644158363342285,4096
1,layers.0.models.0.self_attn.E.weight,4.611549377441406,4096
1,layers.0.models.0.self_attn.V.weight,4.59567403793335,4096
1,layers.0.models.0.self_attn.V_gate.weight,4.605651378631592,4096
1,layers.0.models.0.self_attn.shared_rel_emb_table.weight,0.3471914231777191,1152
1,layers.0.models.0.self_attn.proj_q.weight,0.6382548809051514,4096
1,layers.0.models.0.self_attn.proj_k.weight,0.6335612535476685,4096
1,layers.0.models.0.self_attn.proj_e.weight,0.6330692172050476,4096
1,layers.0.models.0.self_attn.proj_vg.weight,0.6297786831855774,4096
1,layers.0.models.0.norm1_attn.weight,8.000207901000977,64
1,layers.0.models.0.norm1_attn.bias,0.003190816380083561,64
1,layers.0.ff_linear1.weight,6.538338661193848,8192
1,layers.0.ff_linear1.bias,0.8511852025985718,128
1,layers.0.ff_linear2.weight,4.628957271575928,8192
1,layers.0.ff_linear2.bias,0.3950479030609131,64
1,layers.0.norm2.weight,7.999942779541016,64
1,layers.0.norm2.bias,0.0027766742277890444,64
1,layers.1.models.0.self_attn.Q.weight,4.593085289001465,4096
